,Team,Date,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,D_eFG%,D_TOV%,D_ORB%,D_FTFTA
0,ATL,2015-10-27,1,DET,0.0,94,106,98.6,111.2,95.3,0.183,0.329,0.53,40.4,59.5,9.4,6.0,0.5,14.5,16.3,0.146,0.448,12.3,58.9,0.208
1,ATL,2015-10-29,0,NYK,1.0,112,101,110.2,99.4,101.7,0.313,0.289,0.593,44.8,61.9,10.8,6.3,0.566,13.7,17.9,0.217,0.441,17.0,66.7,0.204
2,ATL,2015-10-30,1,CHO,1.0,97,94,99.3,96.3,97.7,0.265,0.277,0.523,45.5,63.9,9.2,6.9,0.482,13.9,16.3,0.205,0.477,16.1,74.0,0.114
3,ATL,2015-11-01,0,CHO,1.0,94,92,101.2,99.0,92.9,0.159,0.33,0.499,51.6,59.5,9.7,12.2,0.46,10.5,20.0,0.148,0.453,10.6,81.3,0.163
4,ATL,2015-11-03,0,MIA,1.0,98,92,101.6,95.4,96.4,0.244,0.233,0.492,51.0,67.6,10.4,1.7,0.45,13.1,30.8,0.189,0.471,16.2,72.9,0.128
5,ATL,2015-11-04,1,BRK,1.0,101,87,111.1,95.7,90.9,0.316,0.289,0.583,44.2,73.0,16.5,16.1,0.539,13.1,17.1,0.25,0.464,17.6,66.7,0.12
6,ATL,2015-11-06,0,NOP,1.0,121,115,122.3,116.3,98.9,0.455,0.273,0.655,56.2,73.2,10.1,11.1,0.591,14.0,18.8,0.39,0.56,11.3,85.4,0.25
7,ATL,2015-11-07,1,WAS,1.0,114,99,114.4,99.3,99.7,0.163,0.359,0.578,48.8,86.0,12.0,7.4,0.538,12.4,23.3,0.163,0.538,21.9,78.4,0.192
8,ATL,2015-11-09,1,MIN,0.0,107,117,107.4,117.5,99.6,0.081,0.36,0.601,40.3,68.2,13.1,9.2,0.587,16.0,11.1,0.07,0.619,17.5,74.2,0.225
9,ATL,2015-11-11,1,NOP,1.0,106,98,109.3,101.0,97.0,0.186,0.302,0.57,52.4,61.9,10.3,13.0,0.547,11.4,20.0,0.14,0.53,17.5,81.8,0.12
10,ATL,2015-11-13,0,BOS,0.0,93,106,98.6,112.4,94.3,0.263,0.263,0.548,41.2,72.2,3.2,2.9,0.513,15.9,13.2,0.197,0.461,8.5,63.8,0.107
11,ATL,2015-11-15,1,UTA,0.0,96,97,108.2,109.3,88.8,0.224,0.289,0.575,45.2,70.3,10.1,9.1,0.539,15.2,21.1,0.184,0.559,16.9,71.4,0.158
12,ATL,2015-11-17,0,BRK,0.0,88,90,96.1,98.3,91.6,0.184,0.382,0.536,50.0,66.7,7.6,10.9,0.513,19.6,18.6,0.132,0.494,10.9,80.0,0.083
13,ATL,2015-11-18,1,SAC,1.0,103,97,105.4,99.3,97.7,0.27,0.337,0.517,46.4,60.5,9.2,8.6,0.478,9.9,23.5,0.202,0.471,17.6,71.7,0.186
14,ATL,2015-11-21,0,CLE,0.0,97,109,103.6,116.4,93.6,0.291,0.326,0.5,42.7,68.8,10.7,7.1,0.436,11.0,23.1,0.256,0.547,13.0,70.3,0.188
15,ATL,2015-11-24,1,BOS,1.0,121,97,121.9,97.7,99.3,0.275,0.3,0.675,56.6,73.3,8.1,11.5,0.638,18.2,20.7,0.238,0.47,14.6,78.7,0.244
16,ATL,2015-11-25,0,MIN,0.0,95,99,99.4,103.6,95.6,0.427,0.378,0.488,54.1,45.2,10.5,11.5,0.427,12.6,28.3,0.305,0.47,10.4,84.4,0.268
17,ATL,2015-11-27,0,MEM,1.0,116,101,123.5,107.5,93.9,0.48,0.52,0.638,51.9,71.4,4.3,6.0,0.56,9.9,15.8,0.427,0.513,12.7,87.2,0.238
18,ATL,2015-11-28,0,SAS,0.0,88,108,91.4,112.1,96.3,0.149,0.299,0.475,46.7,75.7,9.3,7.4,0.46,16.3,24.5,0.092,0.524,14.6,72.1,0.224
19,ATL,2015-11-30,1,OKC,1.0,106,100,110.6,104.4,95.8,0.222,0.311,0.536,51.5,59.0,9.4,10.8,0.489,10.8,28.6,0.2,0.435,9.7,74.0,0.204
20,ATL,2015-12-02,1,TOR,0.0,86,96,93.0,103.8,92.4,0.178,0.3,0.443,46.2,66.7,8.7,13.0,0.411,11.0,23.6,0.133,0.494,11.8,78.9,0.228
21,ATL,2015-12-04,1,LAL,1.0,100,87,112.0,97.4,89.3,0.27,0.351,0.604,50.6,64.9,12.3,15.3,0.568,17.0,25.0,0.216,0.448,14.9,69.4,0.116
22,ATL,2015-12-09,0,DAL,1.0,98,95,103.7,100.5,94.5,0.222,0.247,0.551,48.0,66.7,7.4,10.1,0.519,13.6,16.2,0.173,0.395,7.7,67.2,0.16
23,ATL,2015-12-10,0,OKC,0.0,94,107,101.9,116.0,92.2,0.295,0.359,0.533,39.5,60.0,9.8,11.1,0.513,9.3,10.6,0.179,0.544,13.3,74.4,0.25
24,ATL,2015-12-12,1,SAS,0.0,78,103,80.4,106.1,97.0,0.2,0.3,0.448,40.2,70.0,15.5,5.6,0.406,16.3,14.0,0.163,0.554,21.6,81.3,0.284
25,ATL,2015-12-14,1,MIA,0.0,88,100,93.5,106.3,94.1,0.179,0.393,0.486,40.7,75.8,7.4,5.5,0.44,13.4,15.2,0.167,0.489,13.6,66.7,0.146
26,ATL,2015-12-16,1,PHI,1.0,127,106,130.4,108.8,97.4,0.308,0.269,0.717,43.9,66.7,11.3,14.3,0.679,11.9,7.4,0.269,0.6,20.5,76.7,0.213
27,ATL,2015-12-18,0,BOS,1.0,109,101,106.3,98.5,102.5,0.33,0.227,0.541,49.4,56.1,10.7,7.4,0.489,10.6,19.6,0.261,0.506,18.8,84.6,0.299
28,ATL,2015-12-20,0,ORL,1.0,103,100,108.2,105.1,95.2,0.256,0.282,0.593,53.2,64.1,6.3,10.1,0.571,18.0,22.2,0.179,0.494,12.4,80.5,0.247
29,ATL,2015-12-21,1,POR,1.0,106,97,112.3,102.8,94.4,0.364,0.377,0.593,38.3,56.8,8.5,1.8,0.539,10.1,5.3,0.299,0.5,16.6,67.4,0.198
30,ATL,2015-12-23,1,DET,1.0,107,100,107.5,100.5,99.5,0.225,0.225,0.547,47.7,58.1,8.0,5.9,0.517,11.7,23.3,0.169,0.466,11.9,71.1,0.191
31,ATL,2015-12-26,1,NYK,1.0,117,98,123.7,103.6,94.6,0.205,0.284,0.61,46.8,70.2,13.7,7.0,0.58,8.6,25.0,0.17,0.525,19.9,69.2,0.16
32,ATL,2015-12-28,0,IND,0.0,87,93,91.6,97.9,95.0,0.338,0.338,0.512,52.4,51.6,9.5,9.8,0.459,19.0,21.6,0.257,0.477,12.9,76.6,0.115
33,ATL,2015-12-29,0,HOU,1.0,121,115,119.6,113.7,101.2,0.253,0.414,0.55,49.5,62.8,9.9,13.5,0.505,9.8,30.4,0.212,0.618,17.6,80.0,0.361
34,ATL,2016-01-03,0,NYK,0.0,97,111,101.4,116.0,95.7,0.238,0.31,0.523,41.0,70.3,11.5,8.1,0.488,13.9,19.0,0.179,0.563,14.5,66.7,0.136
